"ProductId","CategoryId","ProductName","ProductDescription","ProductPrice","ProductQuantity"
"16012",1,"FOOD/DRINK SPONGE STICKERS","FOOD/DRINK SPONGE STICKERS","0.21",100000
"16014",1,"SMALL CHINESE STYLE SCISSOR","SMALL CHINESE STYLE SCISSOR","0.42",100000
"16015",1,"MEDIUM CHINESE STYLE SCISSOR","MEDIUM CHINESE STYLE SCISSOR","0.50",100000
"16016",1,"LARGE CHINESE STYLE SCISSOR","LARGE CHINESE STYLE SCISSOR","0.85",100000
"16020C",1,"CLEAR STATIONERY BOX SET ","CLEAR STATIONERY BOX SET ","0.83",100000
"16033",1,"MINI HIGHLIGHTER PENS","MINI HIGHLIGHTER PENS","0.00",100000
"16043",1,"POP ART PUSH DOWN RUBBER ","POP ART PUSH DOWN RUBBER ","0.12",100000
"16044",1,"POP-ART FLUORESCENT PENS","POP-ART FLUORESCENT PENS","0.00",100000
"16045",1,"POPART WOODEN PENCILS ASST","POPART WOODEN PENCILS ASST","0.04",100000
"16046",1,"TEATIME PEN CASE & PENS","TEATIME PEN CASE & PENS","0.85",100000
"16047",1,"POP ART PEN CASE & PENS","POP ART PEN CASE & PENS","0.85",100000
"16048",1,"TEATIME ROUND PENCIL SHARPENER ","TEATIME ROUND PENCIL SHARPENER ","0.83",100000
"16049",1,"TEATIME GEL PENS ASST","TEATIME GEL PENS ASST","0.00",100000
"16050",1,"TEATIME PENCIL WITH RUBBER","TEATIME PENCIL WITH RUBBER","0.55",100000
"16051",1,"TEATIME PENCIL W STAMP ASST","TEATIME PENCIL W STAMP ASST","0.00",100000
"16052",1,"TEATIME PUSH DOWN RUBBER","TEATIME PUSH DOWN RUBBER","0.19",100000
"16053",1,"POPART COL BALLPOINT PEN ASST","POPART COL BALLPOINT PEN ASST","0.21",100000
"16054",1,"POPART RECT PENCIL SHARPENER ASST","POPART RECT PENCIL SHARPENER ASST","0.12",100000
"16119",1,"FUNKY GIRL ADDRESS BOOK","FUNKY GIRL ADDRESS BOOK","0.38",100000
"16151A",1,"FLOWERS HANDBAG blue and orange","FLOWERS HANDBAG blue and orange","1.25",100000
"16156L",1,"WRAP CAROUSEL","WRAP CAROUSEL","0.42",100000
"16156N",1,"WRAP, FRIENDSHIP ON GREEN","WRAP, FRIENDSHIP ON GREEN","0.42",100000
"16156S",1,"WRAP PINK FAIRY CAKES ","WRAP PINK FAIRY CAKES ","0.42",100000
"16161C",1,"WRAP SPEED DEMONS ","WRAP SPEED DEMONS ","0.00",100000
"16161E",1,"WRAP BOUDOIR ","WRAP BOUDOIR ","0.10",100000
"16161G",1,"WRAP BAD HAIR DAY","WRAP BAD HAIR DAY","0.10",100000
"16161M",1,"WRAP  PINK FLOCK","WRAP  PINK FLOCK","0.42",100000
"16161P",1,"WRAP ENGLISH ROSE ","WRAP ENGLISH ROSE ","0.42",100000
"16161U",1,"WRAP SUKI AND FRIENDS","WRAP SUKI AND FRIENDS","0.42",100000
"16162L",1,"THE KING GIFT BAG","THE KING GIFT BAG","0.65",100000
"16162M",1,"THE KING GIFT BAG 25x24x12cm","THE KING GIFT BAG 25x24x12cm","0.42",100000
"16168M",1,"FUNKY MONKEY GIFT BAG MEDIUM","FUNKY MONKEY GIFT BAG MEDIUM","0.83",100000
"16168S",1,"FUNKY MONKEY GIFT BAG SMALL","FUNKY MONKEY GIFT BAG SMALL","0.00",100000
"16169A",1,"WRAP CHRISTMAS DECOUPAGE","WRAP CHRISTMAS DECOUPAGE","0.42",100000
"16169C",1,"WRAP BLUE REINDEER","WRAP BLUE REINDEER","0.42",100000
"16169D",1,"WRAP WINTER FOREST","WRAP WINTER FOREST","0.42",100000
"16169E",1,"WRAP 50'S  CHRISTMAS","WRAP 50'S  CHRISTMAS","0.42",100000
"16169F",1,"WRAP BLIZZARD","WRAP BLIZZARD","0.42",100000
"16169G",1,"WRAP ROMANTIC DECOUPAGE","WRAP ROMANTIC DECOUPAGE","0.42",100000
"16169K",1,"WRAP FOLK ART","WRAP FOLK ART","0.42",100000
"16169M",1,"WRAP DAISY CARPET ","WRAP DAISY CARPET ","0.42",100000
"16169N",1,"WRAP BLUE RUSSIAN FOLKART","WRAP BLUE RUSSIAN FOLKART","0.42",100000
"16169P",1,"WRAP GREEN RUSSIAN FOLKART ","WRAP GREEN RUSSIAN FOLKART ","0.42",100000
"16192",1,"PINK BALLET OPENING CUBE BOX ","PINK BALLET OPENING CUBE BOX ","4.30",100000
"16201A",1,"PASTEL PINK PHOTO ALBUM","PASTEL PINK PHOTO ALBUM","1.95",100000
"16201B",1,"PASTEL BLUE PHOTO ALBUM","PASTEL BLUE PHOTO ALBUM","3.43",100000
"16202A",1,"PASTEL PINK PHOTO ALBUM ","PASTEL PINK PHOTO ALBUM ","0.50",100000
"16202B",1,"PASTEL BLUE PHOTO ALBUM ","PASTEL BLUE PHOTO ALBUM ","0.50",100000
"16202C",1,"BEIGE PHOTO ALBUM","BEIGE PHOTO ALBUM","5.55",100000
"16202E",1,"BLACK PHOTO ALBUM ","BLACK PHOTO ALBUM ","0.50",100000
"16206B",1,"RED PURSE WITH PINK HEART","RED PURSE WITH PINK HEART","1.25",100000
"16207A",1,"PINK STRAWBERRY HANDBAG ","PINK STRAWBERRY HANDBAG ","0.00",100000
"16207B",1,"PINK HEART RED HANDBAG","PINK HEART RED HANDBAG","2.46",100000
"16212",1,"FUNKY GIRLZ ASST MAGNETIC MEMO PAD","FUNKY GIRLZ ASST MAGNETIC MEMO PAD","0.00",100000
"16215",1,"FUNKY GIRLZ MAGNETIC TO DO LIST ","FUNKY GIRLZ MAGNETIC TO DO LIST ","0.65",100000
"16216",1,"LETTER SHAPE PENCIL SHARPENER","LETTER SHAPE PENCIL SHARPENER","0.06",100000
"16218",1,"CARTOON  PENCIL SHARPENERS","CARTOON  PENCIL SHARPENERS","0.06",100000
"16219",1,"HOUSE SHAPE PENCIL SHARPENER","HOUSE SHAPE PENCIL SHARPENER","0.83",100000
"16225",1,"RATTLE SNAKE EGGS","RATTLE SNAKE EGGS","3.29",100000
"16235",1,"RECYCLED PENCIL WITH RABBIT ERASER","RECYCLED PENCIL WITH RABBIT ERASER","0.42",100000
"16236",1,"KITTY PENCIL ERASERS","KITTY PENCIL ERASERS","0.42",100000
"16237",1,"SLEEPING CAT ERASERS","SLEEPING CAT ERASERS","0.21",100000
"16238",1,"PARTY TIME PENCIL ERASERS","PARTY TIME PENCIL ERASERS","0.42",100000
"16239",1,"BALLERINA HEART DECORATION.","BALLERINA HEART DECORATION.","1.25",100000
"16243B",1,"BROWN COZY SQUARE PHOTO ALBUM","BROWN COZY SQUARE PHOTO ALBUM","1.95",100000
"16244A",1,"MAXWELL 2 TONE PINK 60 PAGE PHOTO A","MAXWELL 2 TONE PINK 60 PAGE PHOTO A","0.00",100000
"16244B",1,"MAXWELL 2 TONE BLUE 60 PAGE PHOTO A","MAXWELL 2 TONE BLUE 60 PAGE PHOTO A","1.95",100000
"16245A",1,"PINK MINI STATIONERY SET W CASE","PINK MINI STATIONERY SET W CASE","1.25",100000
"16248B",1,"BLUE HOLE PUNCH","BLUE HOLE PUNCH","1.25",100000
"16254",1,"TRANSPARENT ACRYLIC TAPE DISPENSER","TRANSPARENT ACRYLIC TAPE DISPENSER","0.85",100000
"16256B",1,"FLOWER PENCIL/RUBBER+5 MINI PENCILS","FLOWER PENCIL/RUBBER+5 MINI PENCILS","0.00",100000
"16256C",1,"HEARTS PENCIL/RUBBER+5 MINI PENCILS","HEARTS PENCIL/RUBBER+5 MINI PENCILS","0.42",100000
"16258A",1,"SWIRLY CIRCULAR RUBBERS IN BAG","SWIRLY CIRCULAR RUBBERS IN BAG","0.19",100000
"16258B",1,"DAISY ERASERS IN BAG","DAISY ERASERS IN BAG","0.19",100000
"16259",1,"PIECE OF CAMO STATIONERY SET","PIECE OF CAMO STATIONERY SET","0.08",100000
"17001",1,"HEAVENS SCENT FRAGRANCE OILS ASSTD","HEAVENS SCENT FRAGRANCE OILS ASSTD","0.29",100000
"17003",1,"BROCADE RING PURSE ","BROCADE RING PURSE ","0.39",100000
"17007B",1,"S/3 POT POURI CUSHIONS BLUE COLOURS","S/3 POT POURI CUSHIONS BLUE COLOURS","2.10",100000
"17011A",1,"ORIGAMI VANILLA INCENSE+FLOWER ","ORIGAMI VANILLA INCENSE+FLOWER ","0.30",100000
"17011B",1,"ORIGAMI JASMINE INCENSE+FLOWER ","ORIGAMI JASMINE INCENSE+FLOWER ","0.30",100000
"17011C",1,"ORIGAMI LAVENDER INCENSE+FLOWER","ORIGAMI LAVENDER INCENSE+FLOWER","0.65",100000
"17011D",1,"ORIGAMI ROSE INCENSE+FLOWER","ORIGAMI ROSE INCENSE+FLOWER","0.30",100000
"17011E",1,"ORIGAMI OPIUM SCENT INCENSE+FLOWER","ORIGAMI OPIUM SCENT INCENSE+FLOWER","0.65",100000
"17011F",1,"ORIGAMI SANDLEWOOD INCENSE+FLOWER","ORIGAMI SANDLEWOOD INCENSE+FLOWER","0.65",100000
"17012A",1,"ORIGAMI VANILLA INCENSE/CANDLE SET ","ORIGAMI VANILLA INCENSE/CANDLE SET ","0.85",100000
"17012B",1,"ORIGAMI JASMINE INCENSE/CANDLE SET","ORIGAMI JASMINE INCENSE/CANDLE SET","0.85",100000
"17012C",1,"ORIGAMI LAVENDER INCENSE/CANDL SET ","ORIGAMI LAVENDER INCENSE/CANDL SET ","0.85",100000
"17012D",1,"ORIGAMI ROSE INCENSE/CANDLE SET ","ORIGAMI ROSE INCENSE/CANDLE SET ","0.85",100000
"17012E",1,"ORIGAMI OPIUM INCENSE/CANDLE SET ","ORIGAMI OPIUM INCENSE/CANDLE SET ","0.50",100000
"17012F",1,"ORIGAMI SANDLEWOOD INCENSE/CAND SET","ORIGAMI SANDLEWOOD INCENSE/CAND SET","0.85",100000
"17013B",1,"ORIGAMI JASMINE INCENSE IN TUBE","ORIGAMI JASMINE INCENSE IN TUBE","0.42",100000
"17013C",1,"ORIGAMI LAVENDER INCENSE IN TUBE","ORIGAMI LAVENDER INCENSE IN TUBE","0.42",100000
"17013D",1,"ORIGAMI ROSE INCENSE IN TUBE","ORIGAMI ROSE INCENSE IN TUBE","0.42",100000
"17013F",1,"ORIGAMI SANDLEWOOD INCENSE IN TUBE","ORIGAMI SANDLEWOOD INCENSE IN TUBE","0.30",100000
"17014A",1,"ORIGAMI VANILLA INCENSE CONES","ORIGAMI VANILLA INCENSE CONES","0.42",100000
"17014C",1,"ORIGAMI LAVENDER INCENSE CONES","ORIGAMI LAVENDER INCENSE CONES","3.43",100000
"17014D",1,"ORIGAMI ROSE INCENSE CONES","ORIGAMI ROSE INCENSE CONES","0.30",100000
"17014E",1,"ORIGAMI OPIUM INCENSE CONES","ORIGAMI OPIUM INCENSE CONES","0.30",100000
"17014F",1,"ORIGAMI SANDLEWOOD INCENSE CONES","ORIGAMI SANDLEWOOD INCENSE CONES","0.30",100000
"17021",1,"NAMASTE SWAGAT INCENSE","NAMASTE SWAGAT INCENSE","0.30",100000
"17027A",1,"INCENSE BAZAAR CANNABIS","INCENSE BAZAAR CANNABIS","0.29",100000
"17028J",1,"INCENSE BAZAAR PEACH","INCENSE BAZAAR PEACH","0.42",100000
"17033",1,"BROCADE PURSE,SMALL ARCH BUTTON","BROCADE PURSE,SMALL ARCH BUTTON","0.00",100000
"17038",1,"PORCELAIN BUDAH INCENSE HOLDER","PORCELAIN BUDAH INCENSE HOLDER","0.10",100000
"17039",1,"INLAID WOOD INCENSE HOLDER","INLAID WOOD INCENSE HOLDER","0.21",100000
"17061",1,"ASSORTED SHAPED STENCIL FOR HENNA","ASSORTED SHAPED STENCIL FOR HENNA","0.04",100000
"17084A",1,"TRANQUILITY MASALA INCENSE","TRANQUILITY MASALA INCENSE","0.21",100000
"17084G",1,"MOON INCENSE","MOON INCENSE","0.21",100000
"17084J",1,"LOVE POTION MASALA INCENSE","LOVE POTION MASALA INCENSE","0.21",100000
"17084N",1,"FAIRY DREAMS INCENSE ","FAIRY DREAMS INCENSE ","0.42",100000
"17084P",1,"DRAGONS BLOOD INCENSE","DRAGONS BLOOD INCENSE","0.42",100000
"17084R",1,"ASSORTED INCENSE PACK","ASSORTED INCENSE PACK","0.21",100000
"17090A",1,"LAVENDER INCENSE 40 CONES IN TIN","LAVENDER INCENSE 40 CONES IN TIN","1.25",100000
"17090D",1,"VANILLA INCENSE 40 CONES IN TIN","VANILLA INCENSE 40 CONES IN TIN","1.25",100000
"17091A",1,"LAVENDER INCENSE IN TIN","LAVENDER INCENSE IN TIN","0.38",100000
"17091B",1,"JASMINE TEA INCENSE IN TIN","JASMINE TEA INCENSE IN TIN","1.25",100000
"17091F",1,"SANDALWOOD INCENSE IN TIN","SANDALWOOD INCENSE IN TIN","1.25",100000
"17091J",1,"VANILLA INCENSE IN TIN","VANILLA INCENSE IN TIN","0.38",100000
"17096",1,"ASSORTED LAQUERED INCENSE HOLDERS","ASSORTED LAQUERED INCENSE HOLDERS","0.17",100000
"17107D",1,"FLOWER FAIRY 5 DRAWER LINERS","FLOWER FAIRY 5 DRAWER LINERS","2.55",100000
"17108D",1,"FLOWER FAIRY SUMMER BOUQUET SACHET","FLOWER FAIRY SUMMER BOUQUET SACHET","0.42",100000
"17109A",1,"FLOWER FAIRY INCENSE LILY","FLOWER FAIRY INCENSE LILY","0.00",100000
"17109B",1,"FLOWER FAIRY INCENSE LAVENDER","FLOWER FAIRY INCENSE LAVENDER","0.38",100000
"17109C",1,"FLOWER FAIRY INCENSE ROSE","FLOWER FAIRY INCENSE ROSE","0.38",100000
"17109D",1,"Adjustment","Adjustment","0.00",100000
"17129C",1,"wrong invc","wrong invc","0.00",100000
"17129D",1,"CLEAR COLOUR GLASS GEMS IN BAG","CLEAR COLOUR GLASS GEMS IN BAG","0.85",100000
"17129F",1,"BLUE GLASS GEMS IN BAG","BLUE GLASS GEMS IN BAG","1.63",100000
"17136A",1,"check","check","0.00",100000
"17164B",1,"ASS COL SMALL SAND GECKO P'WEIGHT","ASS COL SMALL SAND GECKO P'WEIGHT","0.42",100000
"17164D",1,"ASS COL SMALL SAND FROG P'WEIGHT","ASS COL SMALL SAND FROG P'WEIGHT","0.42",100000
"17165B",1,"ASS COL LARGE SAND GECKO P'WEIGHT","ASS COL LARGE SAND GECKO P'WEIGHT","0.00",100000
"17165D",1,"ASS COL LARGE SAND FROG P'WEIGHT","ASS COL LARGE SAND FROG P'WEIGHT","0.00",100000
"17174",1,"ASSTD RASTA KEY-CHAINS","ASSTD RASTA KEY-CHAINS","0.42",100000
"17178",1,"FLAT PALM T-LIGHT HOLDER","FLAT PALM T-LIGHT HOLDER","1.25",100000
"17181",1,"CIRCLE OF FRIENDS CANDLE HOLDER","CIRCLE OF FRIENDS CANDLE HOLDER","5.06",100000
"17191A",1,"ROSE FLOWER CANDLE+INCENSE 16X16CM","ROSE FLOWER CANDLE+INCENSE 16X16CM","3.75",100000
"18007",1,"ESSENTIAL BALM 3.5g TIN IN ENVELOPE","ESSENTIAL BALM 3.5g TIN IN ENVELOPE","0.42",100000
"18010",1,"ASSORTED FRAGRANCE BATH CONFETTI","ASSORTED FRAGRANCE BATH CONFETTI","0.42",100000
"18094C",1,"WHITE AND BLUE CERAMIC OIL BURNER","WHITE AND BLUE CERAMIC OIL BURNER","1.25",100000
"18096C",1,"WHITE ROUND PORCELAIN TLIGHT HOLDER","WHITE ROUND PORCELAIN TLIGHT HOLDER","2.55",100000
"18097A",1,"PINK TALL PORCELAIN T-LIGHT HOLDER ","PINK TALL PORCELAIN T-LIGHT HOLDER ","2.55",100000
"18097B",1,"BLUE TALL PORCELAIN T-LIGHT HOLDER","BLUE TALL PORCELAIN T-LIGHT HOLDER","0.00",100000
"18097C",1,"WHITE TALL PORCELAIN T-LIGHT HOLDER","WHITE TALL PORCELAIN T-LIGHT HOLDER","4.96",100000
"18098A",1,"PINK PORCELAIN B'FLY OIL BURNER","PINK PORCELAIN B'FLY OIL BURNER","2.95",100000
"18098B",1,"BLUE PORCELAIN B'FLY OIL BURNER","BLUE PORCELAIN B'FLY OIL BURNER","2.95",100000
"18098C",1,"PORCELAIN BUTTERFLY OIL BURNER","PORCELAIN BUTTERFLY OIL BURNER","2.95",100000
"20615",1,"BLUE POLKADOT PASSPORT COVER","BLUE POLKADOT PASSPORT COVER","4.13",100000
"20616",1,"CHERRY BLOSSOM PASSPORT COVER","CHERRY BLOSSOM PASSPORT COVER","4.13",100000
"20617",1,"FIRST CLASS PASSPORT COVER ","FIRST CLASS PASSPORT COVER ","2.10",100000
"20618",1,"QUEEN OF THE SKIES PASSPORT COVER ","QUEEN OF THE SKIES PASSPORT COVER ","2.10",100000
"20619",1,"TROPICAL PASSPORT COVER ","TROPICAL PASSPORT COVER ","4.13",100000
"20620",1,"RED SPOTTY PASSPORT COVER","RED SPOTTY PASSPORT COVER","4.21",100000
"20621",1,"ECONOMY PASSPORT COVER ","ECONOMY PASSPORT COVER ","0.00",100000
"20622",1,"VIP PASSPORT COVER ","VIP PASSPORT COVER ","4.13",100000
"20652",1,"BLUE POLKADOT LUGGAGE TAG ","BLUE POLKADOT LUGGAGE TAG ","2.46",100000
"20653",1,"CHERRY BLOSSOM LUGGAGE TAG","CHERRY BLOSSOM LUGGAGE TAG","2.46",100000
"20654",1,"FIRST CLASS LUGGAGE TAG ","FIRST CLASS LUGGAGE TAG ","2.46",100000
"20655",1,"QUEEN OF SKIES LUGGAGE TAG","QUEEN OF SKIES LUGGAGE TAG","2.46",100000
"20657",1,"TROPICAL LUGGAGE TAG","TROPICAL LUGGAGE TAG","2.46",100000
"20658",1,"RED RETROSPOT LUGGAGE TAG","RED RETROSPOT LUGGAGE TAG","1.25",100000
"20659",1,"ECONOMY LUGGAGE TAG","ECONOMY LUGGAGE TAG","2.46",100000
"20660",1,"VIP LUGGAGE TAG ","VIP LUGGAGE TAG ","1.25",100000
"20661",1,"BLUE POLKADOT PURSE ","BLUE POLKADOT PURSE ","5.79",100000
"20662",1,"FIRST CLASS HOLIDAY PURSE ","FIRST CLASS HOLIDAY PURSE ","5.79",100000
"20663",1,"QUEEN OF THE SKIES HOLIDAY PURSE ","QUEEN OF THE SKIES HOLIDAY PURSE ","5.79",100000
"20664",1,"TROPICAL HOLIDAY PURSE ","TROPICAL HOLIDAY PURSE ","2.46",100000
"20665",1,"RED RETROSPOT PURSE ","RED RETROSPOT PURSE ","5.79",100000
"20666",1,"ECONOMY HOLIDAY PURSE","ECONOMY HOLIDAY PURSE","0.83",100000
"20667",1,"CHERRY BLOSSOM PURSE","CHERRY BLOSSOM PURSE","2.46",100000
"20668",1,"DISCO BALL CHRISTMAS DECORATION","DISCO BALL CHRISTMAS DECORATION","0.12",100000
"20669",1,"RED HEART LUGGAGE TAG","RED HEART LUGGAGE TAG","2.46",100000
"20670",1,"VIP HOLIDAY PURSE","VIP HOLIDAY PURSE","2.95",100000
"20671",1,"BLUE TEATIME PRINT BOWL ","BLUE TEATIME PRINT BOWL ","1.25",100000
"20672",1,"PINK TEATIME PRINT BOWL","PINK TEATIME PRINT BOWL","0.00",100000
"20673",1,"STRAWBERRIES PRINT BOWL","STRAWBERRIES PRINT BOWL","0.00",100000
"20674",1,"GREEN POLKADOT BOWL","GREEN POLKADOT BOWL","1.25",100000
"20675",1,"BLUE POLKADOT BOWL","BLUE POLKADOT BOWL","1.25",100000
"20676",1,"RED RETROSPOT BOWL","RED RETROSPOT BOWL","2.46",100000
"20677",1,"PINK POLKADOT BOWL","PINK POLKADOT BOWL","1.25",100000
"20678",1,"LARGE BLACK DIAMANTE HAIRSLIDE","LARGE BLACK DIAMANTE HAIRSLIDE","1.65",100000
"20679",1,"EDWARDIAN PARASOL RED","EDWARDIAN PARASOL RED","5.95",100000
"20680",1,"PINK FLOWERS CHILDS UMBRELLA","PINK FLOWERS CHILDS UMBRELLA","3.25",100000
"20681",1,"PINK POLKADOT CHILDRENS UMBRELLA","PINK POLKADOT CHILDRENS UMBRELLA","3.25",100000
"20682",1,"RED RETROSPOT CHILDRENS UMBRELLA","RED RETROSPOT CHILDRENS UMBRELLA","3.25",100000
"20683",1,"RAIN GIRL CHILDS UMBRELLA","RAIN GIRL CHILDS UMBRELLA","0.00",100000
"20684",1,"STRAWBERRY DREAM CHILDS UMBRELLA","STRAWBERRY DREAM CHILDS UMBRELLA","0.00",100000
"20685",1,"DOORMAT RED RETROSPOT","DOORMAT RED RETROSPOT","8.25",100000
"20686",1,"DOLLY MIXTURE CHILDREN'S UMBRELLA","DOLLY MIXTURE CHILDREN'S UMBRELLA","3.25",100000
"20688",1,"BEAUTY SPEED EXPRESSO CUPS","BEAUTY SPEED EXPRESSO CUPS","0.45",100000
"20689",1,"RETRO SISTERS EXPRESSO CUPS","RETRO SISTERS EXPRESSO CUPS","5.95",100000
"20692",1,"FLORAL ELEPHANT SOFT TOY","FLORAL ELEPHANT SOFT TOY","0.00",100000
"20693",1,"FLORAL DINOSAUR GREEN","FLORAL DINOSAUR GREEN","4.25",100000
"20694",1,"FLORAL PINK MONSTER","FLORAL PINK MONSTER","7.46",100000
"20695",1,"FLORAL BLUE MONSTER","FLORAL BLUE MONSTER","4.25",100000
"20696",1,"FLORAL SOFT CAR TOY","FLORAL SOFT CAR TOY","7.46",100000
"20697",1,"LITTLE GREEN MONSTER SOFT TOY","LITTLE GREEN MONSTER SOFT TOY","2.55",100000
"20698",1,"LITTLE PINK MONSTER SOFT TOY","LITTLE PINK MONSTER SOFT TOY","2.55",100000
"20699",1,"MOUSEY LONG LEGS SOFT TOY","MOUSEY LONG LEGS SOFT TOY","2.55",100000
"20700",1,"GREEN CAT FLORAL CUSHION COVER ","GREEN CAT FLORAL CUSHION COVER ","4.13",100000
"20701",1,"PINK CAT FLORAL CUSHION COVER ","PINK CAT FLORAL CUSHION COVER ","4.13",100000
"20702",1,"PINK PADDED MOBILE","PINK PADDED MOBILE","4.25",100000
"20703",1,"BLUE PADDED SOFT MOBILE","BLUE PADDED SOFT MOBILE","4.25",100000
"20704",1,"MR ROBOT SOFT TOY","MR ROBOT SOFT TOY","6.95",100000
"20705",1,"MRS ROBOT SOFT TOY","MRS ROBOT SOFT TOY","6.95",100000
"20707",1,"CRAZY DAISY HEART DECORATION","CRAZY DAISY HEART DECORATION","2.46",100000
"20711",1,"JUMBO BAG TOYS ","JUMBO BAG TOYS ","4.13",100000
"20712",1,"JUMBO BAG WOODLAND ANIMALS","JUMBO BAG WOODLAND ANIMALS","4.13",100000
"20713",1,"JUMBO BAG OWLS","JUMBO BAG OWLS","2.08",100000
"20714",1,"POSY SHOPPER BAG","POSY SHOPPER BAG","0.00",100000
"20715",1,"LITTLE FLOWER SHOPPER BAG","LITTLE FLOWER SHOPPER BAG","1.06",100000
"20716",1,"PARTY FOOD SHOPPER BAG","PARTY FOOD SHOPPER BAG","0.00",100000
"20717",1,"STRAWBERRY SHOPPER BAG","STRAWBERRY SHOPPER BAG","1.25",100000
"20718",1,"RED RETROSPOT SHOPPER BAG","RED RETROSPOT SHOPPER BAG","1.25",100000
"20719",1,"WOODLAND CHARLOTTE BAG","WOODLAND CHARLOTTE BAG","1.63",100000
"20721",1,"OWLS CHARLOTTE BAG","OWLS CHARLOTTE BAG","0.00",100000
"20723",1,"STRAWBERRY CHARLOTTE BAG","STRAWBERRY CHARLOTTE BAG","0.85",100000
"20724",1,"RED RETROSPOT CHARLOTTE BAG","RED RETROSPOT CHARLOTTE BAG","0.85",100000
"20725",1,"LUNCH BAG RED RETROSPOT","LUNCH BAG RED RETROSPOT","1.65",100000
"20726",1,"LUNCH BAG WOODLAND","LUNCH BAG WOODLAND","4.13",100000
"20727",1,"LUNCH BAG  BLACK SKULL.","LUNCH BAG  BLACK SKULL.","1.65",100000
"20728",1,"LUNCH BAG CARS BLUE","LUNCH BAG CARS BLUE","4.13",100000
"20729",1,"RED SPOTTY CANDY BAG","RED SPOTTY CANDY BAG","0.00",100000
"20730",1,"STRAWBERRY CANDY BAG","STRAWBERRY CANDY BAG","1.25",100000
"20731",1,"POSY CANDY BAG","POSY CANDY BAG","0.00",100000
"20733",1,"GOLD MINI TAPE MEASURE ","GOLD MINI TAPE MEASURE ","0.83",100000
